Category,App_Count,Average_Rating,Total_Reviews,Average_Installs,Total_Installs
Family,1877,4.2,193642997,3322612.0,6236542505
Game,945,4.25,590730045,14230608.0,13447924415
Tools,829,4.06,229471630,9774152.0,8102771915
Business,420,4.14,9891023,1659916.0,697164865
Medical,395,4.2,1187538,96944.0,38293077
Personalization,376,4.35,53543117,4075784.0,1532494782
Productivity,374,4.21,55590856,15489549.0,5793091369
Lifestyle,369,4.11,11832692,1365375.0,503823539
Finance,345,4.14,12662973,1319851.0,455348734
Sports,325,4.23,35349158,3373768.0,1096474498
Communication,315,4.14,285824082,35042147.0,11038276251
Health And Fitness,288,4.28,21365720,3972300.0,1144022512
Photography,281,4.17,105580472,16577038.0,4658147655
News And Magazines,254,4.14,23130682,9327629.0,2369217760
Social,239,4.26,227936355,22961790.0,5487867902
Books And Reference,222,4.38,16722873,7504367.0,1665969576
Travel And Local,219,4.09,26821349,13218663.0,2894887146
Shopping,202,4.24,44554067,6932420.0,1400348785
Dating,170,4.01,3623842,828971.0,140925107
Video Players,164,4.06,67644444,23975017.0,3931902720
Maps And Navigation,131,4.05,17729148,3841846.0,503281890
Food And Drink,112,4.19,6326064,1891060.0,211798751
Education,106,4.35,5857793,1791991.0,189951000
Entertainment,86,4.13,25528401,11449535.0,984660000
Auto And Vehicles,85,4.21,1163666,625061.0,53130211
Libraries And Demo,84,4.18,906846,630904.0,52995910
Weather,79,4.25,12295246,4570893.0,361100520
House And Home,73,4.15,1929789,1331541.0,97202461
Events,64,4.45,161018,249581.0,15973161
Art And Design,61,4.36,1410046,1856362.0,113238100
Parenting,60,4.32,958331,525352.0,31521110
Comics,56,4.19,2342399,803235.0,44981150
Beauty,53,4.28,396240,513152.0,27197050
