App,Category,Rating,Reviews,Installs,Type,Price
Facebook,Social,4.1,78158306,1000000000,Free,0.0
WhatsApp Messenger,Communication,4.4,69119316,1000000000,Free,0.0
Instagram,Social,4.5,66577446,1000000000,Free,0.0
Messenger – Text and Video Chat for Free,Communication,4.0,56646578,1000000000,Free,0.0
Subway Surfers,Game,4.5,27725352,1000000000,Free,0.0
YouTube,Video Players,4.3,25655305,1000000000,Free,0.0
Google Photos,Photography,4.5,10859051,1000000000,Free,0.0
Skype - free IM & video calls,Communication,4.1,10484169,1000000000,Free,0.0
Google Chrome: Fast & Secure,Communication,4.3,9643041,1000000000,Free,0.0
Maps - Navigate & Explore,Travel And Local,4.3,9235373,1000000000,Free,0.0
