App,Category,Rating,Reviews,Installs,Type,Price
Facebook,Social,4.1,78158306,1000000000,Free,0.0
WhatsApp Messenger,Communication,4.4,69119316,1000000000,Free,0.0
Instagram,Social,4.5,66577446,1000000000,Free,0.0
Messenger – Text and Video Chat for Free,Communication,4.0,56646578,1000000000,Free,0.0
Clash of Clans,Game,4.6,44893888,100000000,Free,0.0
Clean Master- Space Cleaner & Antivirus,Tools,4.7,42916526,500000000,Free,0.0
Subway Surfers,Game,4.5,27725352,1000000000,Free,0.0
YouTube,Video Players,4.3,25655305,1000000000,Free,0.0
"Security Master - Antivirus, VPN, AppLock, Booster",Tools,4.7,24900999,500000000,Free,0.0
Clash Royale,Game,4.6,23136735,100000000,Free,0.0
