word,frequency,rank
the,14431,1
of,6609,2
and,6430,3
a,4736,4
to,4625,5
in,4172,6
that,3085,7
his,2530,8
it,2522,9
i,2127,10
he,1896,11
but,1818,12
s,1802,13
as,1741,14
is,1725,15
with,1722,16
was,1644,17
for,1617,18
all,1526,19
this,1394,20
at,1319,21
whale,1226,22
by,1204,23
not,1151,24
from,1088,25
him,1067,26
so,1065,27
on,1062,28
be,1045,29
one,921,30
you,894,31
there,869,32
now,785,33
had,779,34
have,768,35
or,713,36
were,684,37
they,667,38
which,648,39
like,647,40
me,633,41
then,630,42
their,620,43
what,618,44
some,618,45
when,606,46
are,598,47
an,596,48
my,589,49
no,586,50
upon,566,51
out,538,52
man,527,53
into,523,54
up,521,55
ship,518,56
ahab,511,57
more,508,58
if,481,59
them,474,60
ye,472,61
we,460,62
sea,455,63
old,450,64
would,432,65
other,416,66
been,415,67
over,409,68
these,403,69
will,391,70
though,384,71
down,378,72
its,376,73
only,376,74
such,370,75
who,363,76
head,345,77
yet,345,78
boat,336,79
time,334,80
long,333,81
her,332,82
captain,329,83
any,327,84
here,325,85
very,322,86
still,312,87
about,310,88
than,309,89
do,307,90
great,306,91
those,306,92
said,304,93
before,299,94
two,298,95
has,292,96
t,291,97
must,283,98
seemed,283,99
most,282,100
white,281,101
last,277,102
see,272,103
thou,271,104
way,271,105
after,270,106
whales,268,107
again,263,108
did,258,109
stubb,257,110
how,255,111
queequeg,252,112
your,249,113
little,249,114
round,247,115
while,246,116
three,245,117
say,244,118
men,244,119
sperm,244,120
may,240,121
can,236,122
first,235,123
through,233,124
every,232,125
well,230,126
us,228,127
being,225,128
much,223,129
off,220,130
where,220,131
could,216,132
good,216,133
hand,214,134
same,214,135
side,208,136
our,207,137
ever,206,138
never,206,139
own,205,140
look,205,141
himself,205,142
starbuck,198,143
deck,196,144
almost,195,145
go,194,146
even,191,147
water,190,148
thing,188,149
too,185,150
might,183,151
should,183,152
away,183,153
come,179,154
made,178,155
world,176,156
day,176,157
sir,175,158
life,174,159
chapter,173,160
pequod,173,161
fish,169,162
among,167,163
many,166,164
seen,165,165
far,165,166
back,164,167
let,158,168
line,158,169
eyes,156,170
without,156,171
oh,156,172
nor,156,173
cried,155,174
aye,155,175
god,152,176
sort,152,177
know,152,178
right,151,179
thought,150,180
night,150,181
once,149,182
part,149,183
boats,147,184
air,143,185
crew,140,186
don,139,187
take,137,188
whole,137,189
half,136,190
tell,135,191
against,134,192
thus,133,193
things,132,194
thee,131,195
whaling,131,196
came,130,197
soon,130,198
hands,130,199
mast,129,200
small,128,201
each,128,202
feet,127,203
both,124,204
full,123,205
something,123,206
think,122,207
till,122,208
she,120,209
under,120,210
between,120,211
why,119,212
just,117,213
called,116,214
saw,116,215
place,116,216
nothing,115,217
found,115,218
another,115,219
poor,114,220
towards,114,221
ll,114,222
thy,113,223
make,112,224
times,112,225
body,110,226
heard,110,227
along,110,228
high,108,229
flask,108,230
stand,107,231
moment,105,232
sight,105,233
voyage,103,234
sail,102,235
sun,102,236
end,100,237
new,99,238
strange,98,239
hold,98,240
shall,97,241
went,97,242
leviathan,96,243
years,96,244
nantucket,96,245
however,95,246
get,95,247
does,95,248
face,95,249
few,94,250
dead,92,251
because,92,252
black,92,253
heart,91,254
am,91,255
also,91,256
whether,91,257
oil,90,258
death,90,259
stood,90,260
certain,89,261
arm,89,262
perhaps,89,263
going,89,264
indeed,89,265
leg,89,266
eye,88,267
true,87,268
whose,87,269
sometimes,87,270
ships,87,271
seas,87,272
seems,87,273
matter,87,274
iron,87,275
give,86,276
heads,86,277
jonah,85,278
seem,85,279
moby,84,280
dick,84,281
itself,84,282
wild,84,283
cabin,84,284
soul,83,285
hard,83,286
days,82,287
standing,82,288
ocean,81,289
harpooneer,81,290
mind,81,291
sailor,81,292
known,80,293
land,80,294
tail,80,295
always,80,296
young,80,297
present,80,298
within,79,299
large,79,300
mate,79,301
ere,79,302
light,79,303
length,78,304
lay,78,305
instant,77,306
word,76,307
least,76,308
open,76,309
set,76,310
fire,76,311
beneath,76,312
enough,76,313
harpoon,76,314
bed,76,315
bildad,76,316
yes,75,317
four,74,318
d,74,319
board,74,320
morning,74,321
done,74,322
peleg,74,323
pip,74,324
vast,73,325
living,73,326
put,73,327
case,72,328
point,72,329
whalemen,72,330
rather,72,331
often,72,332
top,71,333
deep,70,334
near,70,335
wind,70,336
looking,70,337
name,69,338
myself,69,339
cannot,69,340
general,69,341
keep,69,342
waters,69,343
business,68,344
therefore,67,345
left,67,346
lord,66,347
best,66,348
having,66,349
turned,66,350
since,65,351
work,65,352
fishery,65,353
boy,65,354
together,64,355
king,64,356
order,64,357
reason,64,358
looked,64,359
lower,64,360
hear,63,361
mr,63,362
better,63,363
fast,63,364
aloft,62,365
blood,62,366
mouth,61,367
turn,61,368
further,61,369
book,60,370
short,60,371
live,60,372
st,60,373
spout,60,374
gone,59,375
themselves,59,376
rope,59,377
second,59,378
fine,59,379
chase,59,380
above,58,381
jaw,58,382
dark,58,383
watch,58,384
broad,58,385
feel,57,386
indian,57,387
room,57,388
tashtego,57,389
devil,56,390
find,56,391
close,56,392
harpooneers,56,393
peculiar,56,394
home,56,395
ivory,56,396
next,56,397
goes,55,398
vessel,55,399
cook,55,400
call,55,401
savage,55,402
bottom,55,403
mark,55,404
entire,55,405
coming,54,406
stern,54,407
run,54,408
try,54,409
green,54,410
grand,54,411
fellow,54,412
craft,54,413
curious,54,414
ground,54,415
cut,53,416
main,53,417
less,53,418
taking,53,419
turning,53,420
began,53,421
comes,53,422
speak,52,423
forward,52,424
coffin,52,425
slowly,52,426
sailors,52,427
forth,52,428
taken,51,429
bone,51,430
heaven,51,431
sharks,51,432
thousand,51,433
rest,51,434
besides,50,435
behind,50,436
hundred,50,437
wide,50,438
suddenly,50,439
nevertheless,50,440
broken,50,441
english,49,442
monster,49,443
bones,49,444
teeth,49,445
struck,49,446
particular,49,447
story,49,448
took,49,449
common,49,450
carpenter,49,451
bows,49,452
below,49,453
view,48,454
waves,48,455
lost,48,456
ten,48,457
voice,48,458
used,48,459
stranger,48,460
pull,48,461
mighty,47,462
told,47,463
several,47,464
quarter,47,465
kept,47,466
earth,46,467
whatever,46,468
touching,46,469
making,46,470
chance,46,471
form,46,472
people,46,473
whaleman,46,474
sure,46,475
straight,46,476
sleep,46,477
else,46,478
says,46,479
fact,46,480
got,46,481
running,46,482
caught,45,483
sat,45,484
lance,45,485
blue,45,486
door,45,487
mine,45,488
sails,45,489
queer,44,490
somehow,44,491
whom,44,492
noble,44,493
o,44,494
bow,44,495
especially,44,496
nigh,44,497
house,44,498
five,44,499
hole,44,500
means,44,501
knew,43,502
anything,43,503
rolled,43,504
seamen,43,505
sudden,43,506
mere,42,507
nature,42,508
coast,42,509
hours,42,510
passed,42,511
sharp,42,512
ready,42,513
em,42,514
creature,42,515
wondrous,42,516
surface,42,517
alone,41,518
clear,41,519
art,41,520
calm,41,521
pipe,41,522
quite,41,523
parts,41,524
felt,41,525
course,41,526
sound,41,527
brow,41,528
either,40,529
purpose,40,530
wake,40,531
mortal,40,532
mean,40,533
quick,40,534
cape,40,535
red,40,536
hour,40,537
saying,40,538
concerning,40,539
hat,40,540
mates,40,541
gold,40,542
steelkilt,40,543
others,39,544
plainly,39,545
distance,39,546
object,39,547
mass,39,548
single,39,549
easy,39,550
low,39,551
cry,39,552
makes,39,553
oars,39,554
leaving,38,555
brought,38,556
fixed,38,557
around,38,558
various,38,559
sailed,38,560
ha,38,561
plain,38,562
forehead,38,563
help,38,564
darted,38,565
gave,38,566
power,38,567
de,38,568
gentlemen,38,569
brain,37,570
placed,37,571
mad,37,572
manner,37,573
shot,37,574
bulwarks,37,575
chief,37,576
forecastle,37,577
bear,37,578
famous,37,579
middle,37,580
suppose,37,581
holding,37,582
lines,37,583
human,37,584
table,37,585
held,37,586
skin,37,587
ve,37,588
seeing,37,589
flukes,37,590
heavy,37,591
arms,37,592
cutting,37,593
aspect,37,594
daggoo,37,595
strong,36,596
greenland,36,597
wood,36,598
ago,36,599
fell,36,600
legs,36,601
wonder,36,602
sign,36,603
unknown,36,604
truth,36,605
sky,36,606
born,36,607
use,36,608
given,36,609
natural,36,610
rolling,35,611
killed,35,612
previous,35,613
town,35,614
boys,35,615
spring,35,616
weather,35,617
helm,35,618
rose,35,619
turns,35,620
loose,35,621
creatures,34,622
ashore,34,623
account,34,624
passage,34,625
pacific,34,626
nearly,34,627
american,34,628
rigging,34,629
landlord,34,630
fair,34,631
none,34,632
thoughts,34,633
hope,34,634
remained,34,635
twenty,34,636
skeleton,34,637
start,34,638
sailing,34,639
fin,34,640
blubber,34,641
forty,33,642
fifty,33,643
fear,33,644
kill,33,645
steel,33,646
island,33,647
idea,33,648
stop,33,649
foot,33,650
didn,33,651
want,33,652
company,33,653
hammock,33,654
completely,33,655
drawing,33,656
hardly,33,657
third,33,658
strike,32,659
bulk,32,660
doubt,32,661
free,32,662
miles,32,663
fresh,32,664
storm,32,665
already,32,666
darkness,32,667
harpoons,32,668
jet,32,669
visible,32,670
won,32,671
during,32,672
show,32,673
proper,32,674
ho,32,675
hence,32,676
aft,32,677
nose,32,678
intervals,32,679
hull,32,680
generally,31,681
six,31,682
battle,31,683
works,31,684
species,31,685
thunder,31,686
upper,31,687
considering,31,688
cold,31,689
tossed,31,690
planks,31,691
knife,31,692
soft,31,693
substance,31,694
cast,31,695
across,31,696
pass,31,697
woe,31,698
except,31,699
instances,31,700
rising,31,701
late,30,702
swimming,30,703
huge,30,704
jaws,30,705
possible,30,706
possibly,30,707
smoke,30,708
vain,30,709
act,30,710
really,30,711
snow,30,712
horn,30,713
flying,30,714
hung,30,715
supper,30,716
touch,30,717
carried,30,718
die,30,719
suspended,30,720
shark,30,721
hammer,30,722
hoisted,30,723
altogether,29,724
royal,29,725
hearts,29,726
hast,29,727
play,29,728
e,29,729
south,29,730
pretty,29,731
entirely,29,732
steady,29,733
unless,29,734
astern,29,735
nay,29,736
words,29,737
final,29,738
stands,29,739
mariners,29,740
certainly,29,741
m,29,742
lamp,29,743
aside,29,744
question,29,745
sideways,29,746
pointed,29,747
strangely,29,748
leeward,29,749
pole,29,750
coat,28,751
ancient,28,752
sides,28,753
state,28,754
fishermen,28,755
pilot,28,756
lightning,28,757
bit,28,758
bound,28,759
gale,28,760
leaning,28,761
knows,28,762
mild,28,763
meanwhile,28,764
gods,28,765
scene,28,766
shipmates,28,767
become,28,768
feeling,28,769
person,28,770
thinking,28,771
giving,28,772
command,28,773
glance,28,774
hunters,28,775
oar,28,776
parsee,28,777
horse,27,778
eight,27,779
yards,27,780
thirty,27,781
lie,27,782
kind,27,783
year,27,784
finally,27,785
precisely,27,786
seated,27,787
believe,27,788
started,27,789
ice,27,790
thick,27,791
wooden,27,792
midnight,27,793
hump,27,794
somewhat,27,795
eyeing,27,796
alive,27,797
looks,27,798
overboard,27,799
read,27,800
father,27,801
dropped,27,802
wholly,27,803
ahead,27,804
alongside,27,805
cruising,27,806
whiteness,27,807
fedallah,27,808
dutch,26,809
received,26,810
floating,26,811
masts,26,812
tis,26,813
enormous,26,814
vessels,26,815
degree,26,816
silent,26,817
yourself,26,818
considerable,26,819
drawn,26,820
circumstances,26,821
port,26,822
followed,26,823
ears,26,824
hair,26,825
fancy,26,826
chest,26,827
getting,26,828
otherwise,26,829
war,26,830
wife,26,831
circumstance,26,832
sweet,26,833
wise,26,834
keel,26,835
friend,26,836
bodily,26,837
according,26,838
blow,26,839
sword,25,840
country,25,841
dart,25,842
shore,25,843
learned,25,844
seldom,25,845
carry,25,846
thrown,25,847
bright,25,848
self,25,849
front,25,850
watery,25,851
drop,25,852
answer,25,853
afterwards,25,854
talk,25,855
cases,25,856
number,25,857
added,25,858
interval,25,859
duty,25,860
similar,25,861
skull,25,862
takes,25,863
headed,25,864
beat,25,865
complete,25,866
bearing,25,867
hinted,25,868
spread,25,869
warm,24,870
grow,24,871
globe,24,872
somewhere,24,873
love,24,874
regarded,24,875
blows,24,876
